bairro,area_quartos,enderecos_lista,aluguel
lourdes,340 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.850
lourdes,340 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.850
lourdes,170 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.850
lourdes,107 m² construídos4 quartos,"Rua Dos Aimorés, Lourdes, Belo Horizonte, Minas Gerais",2.800
lourdes,45 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.700
lourdes,100 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.700
lourdes,42 m² construídos1 quarto,"São Paulo, Lourdes, Belo Horizonte, Minas Gerais",2.690
lourdes,40 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",2.600
lourdes,48 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,90 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,70 m² construídos2 quartos,"Rua Curitiba, Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,98 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,68 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,45 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,45 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.500
lourdes,168 m² construídos2 quartos,"Rua Rio De Janeiro, Lourdes, Belo Horizonte, Minas Gerais",2.417
lourdes,80 m² construídos3 quartos,"Rua Dos Guajajaras, Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,92 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,80 m² construídos2 quartos,"R. Rio De Janeiro, 1593 - Centro, Belo Horizonte - Mg, 30160-042, Brasil, Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,80 m² totais2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,85 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,45 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,62 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.400
lourdes,70 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.350
lourdes,35 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.300
lourdes,55 m² construídos2 quartos,"Rua Dos Aimorés, Lourdes, Belo Horizonte, Minas Gerais",2.300
lourdes,40 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",2.300
lourdes,30 m² construídos1 quarto,"Rua Gonçalves Dias, Lourdes, Belo Horizonte, Minas Gerais",2.300
lourdes,70 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.300
lourdes,43 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",2.300
lourdes,55 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",2.250
lourdes,110 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.200
lourdes,104 m² construídos2 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.200
lourdes,150 m² construídos3 quartos,"Lourdes, Belo Horizonte, Minas Gerais",2.200
lourdes,43 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",2.100
lourdes,41 m² construídos1 quarto,"Rua Santa Catarina, Lourdes, Belo Horizonte, Minas Gerais",2.100
lourdes,35 m² construídos1 quarto,"Lourdes, Belo Horizonte, Minas Gerais",2.100
lourdes,45 m² construídos1 quarto,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",2.020
lourdes,39 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",2.000
lourdes,95 m² construídos3 quartos,"Rua Fernandes Tourinho, Lourdes, Belo Horizonte, Minas Gerais",2.000
lourdes,50 m² construídos1 quarto,"Rua Santa Catarina, Lourdes, Belo Horizonte, Minas Gerais",2.000
lourdes,80 m² construídos2 quartos,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.000
lourdes,40 m² construídos1 quarto,"Rua Bernardo Guimarães, Lourdes, Belo Horizonte, Minas Gerais",2.000
lourdes,60 m² construídos,"Rua São Paulo, Lourdes, Belo Horizonte, Minas Gerais",2.000
lourdes,247 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",19.797
lourdes,392 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",19.753
lourdes,392 m² construídos,"Lourdes, Belo Horizonte, Minas Gerais",19.753
lourdes,600 m² construídos5 quartos,"Rua Rio De Janeiro 1790, Lourdes, Belo Horizonte, Minas Gerais",18.000
