area (m²),número de quartos,aluguel,street,neighborhood,city,state
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
20.0,-1.0,800.0,,Carlos Prates, Belo Horizonte, Minas Gerais
96.0,-1.0,800.0,,Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,800.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,799.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,700.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,700.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,700.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,700.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,700.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
27.0,1.0,700.0,,Carlos Prates, Belo Horizonte, Minas Gerais
27.0,1.0,700.0,,Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,700.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
15.0,1.0,690.0,Avenida Nossa Senhora De Fátima, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,600.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
60.0,1.0,500.0,Avenida Dom Pedro Ii, Carlos Prates, Belo Horizonte, Minas Gerais
25.0,1.0,400.0,,Carlos Prates, Belo Horizonte, Minas Gerais
